# Classification_Status TrueLabel PredictedLabel Conf_Class0 Conf_Class1 Conf_Class2 Conf_Class3
Correct 0 0 0.3391706645488739 0.2396603673696518 0.3078189194202423 0.11335010081529617
Correct 0 0 0.32988637685775757 0.25909626483917236 0.30051547288894653 0.11050184071063995
Correct 0 0 0.3640831708908081 0.23857037723064423 0.2908869981765747 0.10645941644906998
Correct 0 0 0.3273202180862427 0.25799310207366943 0.2929973304271698 0.12168943881988525
Correct 0 0 0.3615846037864685 0.24040700495243073 0.28838568925857544 0.1096227690577507
Correct 0 0 0.3632484972476959 0.23088356852531433 0.2914234697818756 0.11444448679685593
Correct 0 0 0.3475014865398407 0.24799641966819763 0.29625850915908813 0.10824360698461533
Correct 0 0 0.3564179837703705 0.2486172765493393 0.282967746257782 0.11199697852134705
Correct 0 0 0.351214736700058 0.24500374495983124 0.2972988784313202 0.10648265480995178
Correct 0 0 0.36165565252304077 0.24740496277809143 0.29013875126838684 0.10080064088106155
Correct 0 0 0.3466287851333618 0.2353385090827942 0.30508342385292053 0.11294922232627869
Incorrect 0 2 0.23693883419036865 0.2874653935432434 0.31327012181282043 0.16232572495937347
Correct 0 0 0.352120041847229 0.24850521981716156 0.29484817385673523 0.10452651232481003
Correct 0 0 0.32022690773010254 0.2684211730957031 0.29366734623908997 0.11768455803394318
Correct 0 0 0.3370140790939331 0.2580932676792145 0.29181018471717834 0.11308246850967407
Correct 0 0 0.32100263237953186 0.26142850518226624 0.29067373275756836 0.12689505517482758
Correct 0 0 0.3343689739704132 0.24214603006839752 0.31068041920661926 0.1128045991063118
Correct 0 0 0.34078630805015564 0.25217822194099426 0.2931637167930603 0.11387171596288681
Correct 0 0 0.31113117933273315 0.25554564595222473 0.289811909198761 0.14351123571395874
Incorrect 0 2 0.2736995220184326 0.23327131569385529 0.32544100284576416 0.16758815944194794
Correct 0 0 0.35757479071617126 0.2427034080028534 0.2928624749183655 0.10685937106609344
Correct 0 0 0.33736956119537354 0.2536478340625763 0.30015549063682556 0.1088271290063858
Correct 0 0 0.3468673527240753 0.24020402133464813 0.3036872446537018 0.10924141108989716
Correct 0 0 0.3515484929084778 0.24442565441131592 0.29146015644073486 0.11256570369005203
Correct 0 0 0.3565067946910858 0.24869389832019806 0.29473012685775757 0.10006915777921677
Correct 0 0 0.33423885703086853 0.2513614296913147 0.28801020979881287 0.1263894885778427
Correct 0 0 0.3343706429004669 0.25993743538856506 0.28553900122642517 0.12015294283628464
Correct 0 0 0.3613865077495575 0.2441818118095398 0.29527750611305237 0.09915416687726974
Correct 0 0 0.34408557415008545 0.2552832365036011 0.2957359552383423 0.10489528626203537
Correct 0 0 0.3584275245666504 0.23959596455097198 0.28840523958206177 0.11357127875089645
Correct 0 0 0.3465007245540619 0.2414848357439041 0.302063524723053 0.10995085537433624
Correct 0 0 0.35877126455307007 0.24287955462932587 0.2934796214103699 0.10486955940723419
Incorrect 0 2 0.22932550311088562 0.2431555688381195 0.33135226368904114 0.19616667926311493
Correct 0 0 0.3138544261455536 0.2555517554283142 0.3114730715751648 0.11912080645561218
Correct 0 0 0.3576962351799011 0.2358972281217575 0.2979051470756531 0.10850129276514053
Correct 0 0 0.3630966544151306 0.24424152076244354 0.286853551864624 0.10580825060606003
Incorrect 0 2 0.20957829058170319 0.23118409514427185 0.3098646104335785 0.2493729442358017
Correct 0 0 0.31518101692199707 0.23980146646499634 0.2979760766029358 0.1470414102077484
Correct 0 0 0.2890838384628296 0.2848014831542969 0.2887386679649353 0.13737604022026062
Correct 0 0 0.33723220229148865 0.26212260127067566 0.28715986013412476 0.11348536610603333
Correct 0 0 0.35222509503364563 0.23072724044322968 0.30323129892349243 0.11381635814905167
Correct 0 0 0.32901862263679504 0.23771187663078308 0.3071569502353668 0.12611258029937744
Correct 0 0 0.3559456169605255 0.24136200547218323 0.29362213611602783 0.10907025635242462
Correct 0 0 0.3453952372074127 0.24385429918766022 0.30024582147598267 0.11050469428300858
Correct 0 0 0.3288697302341461 0.24807390570640564 0.30899742245674133 0.11405884474515915
Correct 0 0 0.34379225969314575 0.2547667920589447 0.29054024815559387 0.11090071499347687
Correct 0 0 0.342381089925766 0.24438734352588654 0.28758907318115234 0.12564247846603394
Correct 0 0 0.3297147750854492 0.25598886609077454 0.2994579076766968 0.11483845114707947
