# Classification_Status TrueLabel PredictedLabel Conf_Class0 Conf_Class1 Conf_Class2 Conf_Class3
Correct 0 0 0.5319213271141052 0.12470199167728424 0.33794090151786804 0.0054357764311134815
Correct 0 0 0.5187278985977173 0.14926810562610626 0.3264755606651306 0.005528442095965147
Correct 0 0 0.6257224678993225 0.1057540699839592 0.2649521827697754 0.0035712786484509706
Correct 0 0 0.48928868770599365 0.17776988446712494 0.3253353238105774 0.007606090512126684
Correct 0 0 0.5897555351257324 0.11789534240961075 0.28827694058418274 0.004072227980941534
Correct 0 0 0.5985705256462097 0.11153809726238251 0.2853836417198181 0.004507726524025202
Correct 0 0 0.5816023945808411 0.12561559677124023 0.28867512941360474 0.0041068969294428825
Correct 0 0 0.5827717781066895 0.12846097350120544 0.2841964364051819 0.004570780787616968
Correct 0 0 0.5460666418075562 0.1370052993297577 0.31208956241607666 0.004838520660996437
Correct 0 0 0.6349918246269226 0.11434126645326614 0.24761265516281128 0.0030542686581611633
Correct 0 0 0.5724592804908752 0.11276882141828537 0.31030142307281494 0.004470485262572765
Incorrect 0 2 0.199984610080719 0.2501833736896515 0.535249650478363 0.014582369476556778
Correct 0 0 0.5745218396186829 0.11976739019155502 0.3017420172691345 0.00396876921877265
Correct 0 0 0.5057308673858643 0.17211495339870453 0.3161768317222595 0.005977383814752102
Correct 0 0 0.5165996551513672 0.162057563662529 0.3152773380279541 0.006065474357455969
Correct 0 0 0.4966942071914673 0.16047143936157227 0.3363477885723114 0.006486524362117052
Correct 0 0 0.5211428999900818 0.14791131019592285 0.32608431577682495 0.00486151035875082
Correct 0 0 0.5724924206733704 0.1426965594291687 0.2792181074619293 0.005592903587967157
Correct 0 0 0.46890127658843994 0.16429264843463898 0.3544144034385681 0.012391756288707256
Incorrect 0 2 0.37718501687049866 0.17415277659893036 0.43414685130119324 0.014515353366732597
Correct 0 0 0.5853813290596008 0.1266942322254181 0.28406673669815063 0.0038577252998948097
Correct 0 0 0.544080376625061 0.1323224902153015 0.31898054480552673 0.004616669379174709
Correct 0 0 0.581169605255127 0.11943525075912476 0.29506585001945496 0.004329269286245108
Correct 0 0 0.582990825176239 0.13040092587471008 0.28172412514686584 0.004884108901023865
Correct 0 0 0.5817185044288635 0.12882010638713837 0.2855699360370636 0.003891458734869957
Correct 0 0 0.5555067658424377 0.13229119777679443 0.3062203824520111 0.005981681868433952
Correct 0 0 0.4926319718360901 0.16730381548404694 0.33354172110557556 0.006522567477077246
Correct 0 0 0.6237719058990479 0.10844673216342926 0.2649576663970947 0.0028237085789442062
Correct 0 0 0.5731104016304016 0.1423255056142807 0.2804545760154724 0.004109568428248167
Correct 0 0 0.5871783494949341 0.11965030431747437 0.28835198283195496 0.004819418769329786
Correct 0 0 0.5470138192176819 0.12894007563591003 0.31916263699531555 0.004883458837866783
Correct 0 0 0.5849930644035339 0.12575355172157288 0.28518643975257874 0.004066932946443558
Incorrect 0 2 0.2505893409252167 0.2510063052177429 0.47536659240722656 0.023037731647491455
Correct 0 0 0.4953852891921997 0.146226704120636 0.3530825078487396 0.005305433180183172
Correct 0 0 0.5982983112335205 0.11421611160039902 0.2833234667778015 0.004162122495472431
Correct 0 0 0.6196592450141907 0.113150954246521 0.26349031925201416 0.003699483582749963
Incorrect 0 2 0.1819937825202942 0.2606772482395172 0.514407217502594 0.042921774089336395
Correct 0 0 0.46360939741134644 0.17765584588050842 0.348844438791275 0.00989027600735426
Incorrect 0 2 0.3562834858894348 0.24055737257003784 0.39190876483917236 0.011250349693000317
Correct 0 0 0.5665843486785889 0.1467333883047104 0.28200680017471313 0.004675451200455427
Correct 0 0 0.5551920533180237 0.1149914488196373 0.32531654834747314 0.004499908536672592
Correct 0 0 0.5400072932243347 0.13847315311431885 0.31506556272506714 0.006453998852521181
Correct 0 0 0.5625727772712708 0.13179567456245422 0.3007584810256958 0.004873041994869709
Correct 0 0 0.6447456479072571 0.10780631750822067 0.24378712475299835 0.003660936374217272
Correct 0 0 0.4965338706970215 0.14975900948047638 0.3473302125930786 0.006376955658197403
Correct 0 0 0.5326215028762817 0.15697315335273743 0.304936021566391 0.00546930730342865
Correct 0 0 0.5351484417915344 0.15630431473255157 0.3013264238834381 0.007220791187137365
Correct 0 0 0.532711923122406 0.14283563196659088 0.3189051151275635 0.005547357723116875
Correct 0 0 0.6333528757095337 0.10735203325748444 0.2559875249862671 0.0033075849059969187
Correct 0 0 0.6250292658805847 0.11356113106012344 0.2577187716960907 0.0036908176261931658
Correct 0 0 0.5253676176071167 0.13861805200576782 0.33125996589660645 0.004754346329718828
Correct 0 0 0.4777298867702484 0.18890799582004547 0.3256461024284363 0.007715979591012001
Correct 0 0 0.4474840760231018 0.18291117250919342 0.35930711030960083 0.010297674685716629
Incorrect 0 2 0.09877536445856094 0.38034939765930176 0.49606776237487793 0.024807479232549667
Correct 0 0 0.5382987260818481 0.145416259765625 0.31179770827293396 0.004487294238060713
Incorrect 0 2 0.3823384940624237 0.2022283375263214 0.4030435383319855 0.012389575131237507
Correct 0 0 0.6246399879455566 0.11183580011129379 0.26020342111587524 0.003320852993056178
Correct 0 0 0.608436107635498 0.10241895169019699 0.285259872674942 0.0038851655554026365
Correct 0 0 0.5758506655693054 0.12077914923429489 0.29821065068244934 0.005159455351531506
Incorrect 0 2 0.3371086120605469 0.23179538547992706 0.41536831855773926 0.015727661550045013
Incorrect 0 2 0.18177567422389984 0.2636457085609436 0.5225079655647278 0.03207072243094444
Correct 0 0 0.5839382410049438 0.13074913620948792 0.2821996808052063 0.003112941514700651
Correct 0 0 0.46211737394332886 0.15045273303985596 0.3792523443698883 0.008177539333701134
Correct 0 0 0.6039536595344543 0.13037391006946564 0.2615618109703064 0.004110643640160561
Correct 0 0 0.5762093663215637 0.1317639946937561 0.28724050521850586 0.004786127246916294
Incorrect 0 2 0.014247373677790165 0.3959338366985321 0.4736888110637665 0.11613009870052338
Correct 0 0 0.5348765850067139 0.12685593962669373 0.3339495360851288 0.004317947197705507
Correct 0 0 0.5582663416862488 0.13645192980766296 0.30039241909980774 0.004889331292361021
Incorrect 0 2 0.1963324248790741 0.3250654637813568 0.36030516028404236 0.11829696595668793
Correct 0 0 0.6140978336334229 0.11283807456493378 0.2696150541305542 0.0034490583930164576
Correct 0 0 0.47060084342956543 0.18610824644565582 0.33218735456466675 0.011103500612080097
Correct 0 0 0.5516734719276428 0.13407465815544128 0.31020331382751465 0.004048548173159361
Correct 0 0 0.5772625207901001 0.11581823974847794 0.30320319533348083 0.0037160664796829224
Correct 0 0 0.5608600378036499 0.14063648879528046 0.2936270534992218 0.004876415710896254
Correct 0 0 0.5702991485595703 0.1321650594472885 0.2932460904121399 0.0042897495441138744
Correct 0 0 0.5196688175201416 0.1664375364780426 0.30817171931266785 0.005721871741116047
Correct 0 0 0.45925676822662354 0.1898927539587021 0.33929935097694397 0.011551163159310818
Correct 0 0 0.5657662153244019 0.14904151856899261 0.2803724408149719 0.00481980387121439
Correct 0 0 0.5365132689476013 0.14182960987091064 0.3153435289859772 0.006313573569059372
Correct 0 0 0.5231199860572815 0.1511973738670349 0.31671470403671265 0.008967896923422813
