# Classification_Status TrueLabel PredictedLabel Conf_Class0 Conf_Class1 Conf_Class2 Conf_Class3
Incorrect 0 2 0.22996193170547485 0.25326400995254517 0.26558369398117065 0.2511903643608093
Incorrect 0 2 0.22973890602588654 0.25408193469047546 0.2648397386074066 0.2513394355773926
Incorrect 0 2 0.2299797087907791 0.25389084219932556 0.2652505338191986 0.2508789002895355
Incorrect 0 2 0.2300010770559311 0.25372061133384705 0.26537200808525085 0.2509063184261322
Incorrect 0 2 0.2300325185060501 0.25354164838790894 0.26496586203575134 0.2514599859714508
Incorrect 0 2 0.22947363555431366 0.2529054582118988 0.2654365301132202 0.2521844208240509
Incorrect 0 2 0.22992753982543945 0.25403955578804016 0.26463577151298523 0.25139713287353516
Incorrect 0 2 0.22989247739315033 0.25352218747138977 0.26495620608329773 0.2516290843486786
Incorrect 0 2 0.23076356947422028 0.2531889081001282 0.26449599862098694 0.2515515089035034
Incorrect 0 2 0.23004108667373657 0.25340110063552856 0.26550155878067017 0.2510562837123871
Incorrect 0 2 0.2301584780216217 0.25309789180755615 0.2648753821849823 0.25186824798583984
Incorrect 0 2 0.2314453423023224 0.25146621465682983 0.26491186022758484 0.2521766126155853
Incorrect 0 2 0.2300310581922531 0.2535199522972107 0.26537880301475525 0.25107014179229736
Incorrect 0 2 0.23028722405433655 0.2544039189815521 0.2641703188419342 0.2511385381221771
Incorrect 0 2 0.22978642582893372 0.2539967894554138 0.26508888602256775 0.2511278986930847
Incorrect 0 2 0.23019374907016754 0.25332704186439514 0.2649729251861572 0.25150635838508606
Incorrect 0 2 0.23009607195854187 0.254135400056839 0.2643384635448456 0.25143006443977356
Incorrect 0 2 0.23033399879932404 0.25379621982574463 0.2645687460899353 0.2513010501861572
Incorrect 0 2 0.22991754114627838 0.2541508674621582 0.264792263507843 0.251139372587204
Incorrect 0 2 0.22946204245090485 0.2541053891181946 0.26455262303352356 0.2518799304962158
Incorrect 0 2 0.23012182116508484 0.25368577241897583 0.26492223143577576 0.25127020478248596
Incorrect 0 2 0.23012080788612366 0.25394272804260254 0.26458504796028137 0.2513514459133148
Incorrect 0 2 0.22998903691768646 0.2532508969306946 0.26548853516578674 0.2512715458869934
Incorrect 0 2 0.23054522275924683 0.2532978355884552 0.26500019431114197 0.251156747341156
Incorrect 0 2 0.23010937869548798 0.2537554204463959 0.2650040090084076 0.25113120675086975
Incorrect 0 2 0.22955963015556335 0.25319820642471313 0.26508793234825134 0.25215423107147217
Incorrect 0 2 0.23035557568073273 0.25335004925727844 0.2644868493080139 0.2518075406551361
Incorrect 0 2 0.23019911348819733 0.2539166808128357 0.264555960893631 0.2513282299041748
Incorrect 0 2 0.23018305003643036 0.25403133034706116 0.2651281952857971 0.25065740942955017
Incorrect 0 2 0.23014074563980103 0.2530469298362732 0.26516029238700867 0.2516520023345947
Incorrect 0 2 0.2300713062286377 0.2533178925514221 0.26515358686447144 0.25145721435546875
Incorrect 0 2 0.2302025854587555 0.2536643147468567 0.26480597257614136 0.25132712721824646
Incorrect 0 2 0.2290695458650589 0.2540956437587738 0.2647823989391327 0.2520524263381958
Incorrect 0 2 0.22997091710567474 0.25324371457099915 0.2649649977684021 0.2518203556537628
Incorrect 0 2 0.23013263940811157 0.25330600142478943 0.26532694697380066 0.25123441219329834
Incorrect 0 2 0.23042449355125427 0.25363460183143616 0.26482507586479187 0.2511158287525177
Incorrect 0 2 0.2294091135263443 0.25303351879119873 0.26369917392730713 0.25385817885398865
Incorrect 0 2 0.2299623191356659 0.25422143936157227 0.26424694061279297 0.25156930088996887
Incorrect 0 2 0.2308516949415207 0.2523139417171478 0.265316903591156 0.25151747465133667
Incorrect 0 2 0.229966938495636 0.2542993724346161 0.2649364769458771 0.25079721212387085
Incorrect 0 2 0.23007605969905853 0.2531927525997162 0.2650422751903534 0.2516889274120331
Incorrect 0 2 0.22953550517559052 0.2542334794998169 0.2646773159503937 0.2515537440776825
Incorrect 0 2 0.23034003376960754 0.2532322108745575 0.26479649543762207 0.2516312599182129
Incorrect 0 2 0.22998324036598206 0.25364941358566284 0.26493969559669495 0.25142765045166016
Incorrect 0 2 0.22967682778835297 0.25364670157432556 0.2654501795768738 0.2512263357639313
Incorrect 0 2 0.22983039915561676 0.25412750244140625 0.26483267545700073 0.25120940804481506
Incorrect 0 2 0.2303505837917328 0.2535681128501892 0.26457667350769043 0.25150465965270996
Incorrect 0 2 0.2303520292043686 0.2534528374671936 0.265527606010437 0.2506674826145172
Incorrect 0 2 0.22974812984466553 0.25326427817344666 0.2652537524700165 0.2517338693141937
Incorrect 0 2 0.22999900579452515 0.2538709342479706 0.2646545469760895 0.2514755427837372
Incorrect 0 2 0.22975924611091614 0.25360286235809326 0.2650858461856842 0.2515520453453064
Incorrect 0 2 0.23094119131565094 0.2524656057357788 0.2647654712200165 0.2518276870250702
Incorrect 0 2 0.22961819171905518 0.2537911832332611 0.2652469277381897 0.251343697309494
Incorrect 0 2 0.23179279267787933 0.25055086612701416 0.2640075981616974 0.2536487281322479
Incorrect 0 2 0.23031514883041382 0.2537577450275421 0.26459771394729614 0.2513294517993927
Incorrect 0 2 0.230217844247818 0.2540534734725952 0.2645873725414276 0.25114133954048157
Incorrect 0 2 0.2302887886762619 0.253718763589859 0.2649233341217041 0.2510690689086914
Incorrect 0 2 0.23024462163448334 0.25282877683639526 0.26543110609054565 0.2514955401420593
Incorrect 0 2 0.22958116233348846 0.2535785138607025 0.26541224122047424 0.25142812728881836
Incorrect 0 2 0.22969749569892883 0.25344255566596985 0.2646106481552124 0.25224927067756653
Incorrect 0 2 0.23094476759433746 0.25316208600997925 0.26414212584495544 0.25175103545188904
Incorrect 0 2 0.22975613176822662 0.2545474171638489 0.26471081376075745 0.25098562240600586
Incorrect 0 2 0.22988919913768768 0.2532930374145508 0.26470232009887695 0.2521154582500458
Incorrect 0 2 0.23031319677829742 0.2535785436630249 0.26516303420066833 0.25094518065452576
Incorrect 0 2 0.23033848404884338 0.2542584538459778 0.26453477144241333 0.2508682906627655
Incorrect 0 2 0.23087994754314423 0.25022032856941223 0.26376086473464966 0.2551388144493103
Incorrect 0 2 0.22987543046474457 0.25393441319465637 0.2648918330669403 0.25129833817481995
Incorrect 0 2 0.2302630990743637 0.2536534368991852 0.2646666467189789 0.2514168620109558
Incorrect 0 2 0.23058876395225525 0.2534361183643341 0.2642970085144043 0.25167810916900635
Incorrect 0 2 0.23027263581752777 0.25363975763320923 0.2647520899772644 0.2513355612754822
Incorrect 0 2 0.2297056019306183 0.25424429774284363 0.2640673816204071 0.251982718706131
Incorrect 0 2 0.22986647486686707 0.25328245759010315 0.26520276069641113 0.25164830684661865
Incorrect 0 2 0.22968968749046326 0.25373533368110657 0.26565977931022644 0.25091519951820374
Incorrect 0 2 0.22995933890342712 0.25400054454803467 0.26490136981010437 0.25113871693611145
Incorrect 0 2 0.22974060475826263 0.254099577665329 0.2648141384124756 0.2513456642627716
Incorrect 0 2 0.22982855141162872 0.2547312080860138 0.26497432589530945 0.25046589970588684
Incorrect 0 2 0.23036691546440125 0.2534772753715515 0.26468679308891296 0.2514690160751343
Incorrect 0 2 0.22959183156490326 0.25374457240104675 0.26548290252685547 0.2511807084083557
